title,url,created_at
Sales of new passenger cars in Ukraine down 63% in 2022,https://www.ukrinform.net/rubric-economy/3646161-sales-of-new-passenger-cars-in-ukraine-down-63-in-2022.html,2023-01-04 10:19:37.690932
"Biden, Japan's Kishida expected to meet in Washington as soon as Jan. 13 -source",https://www.reuters.com/article/usa-japan-kishida/biden-japans-kishida-expected-to-meet-in-washington-as-soon-as-jan-13-source-idUSKBN2TI0S1,2023-01-03 22:19:30.598904
Ukraine expects first tranche of macro-financial assistance in Jan,https://www.ukrinform.net/rubric-economy/3645481-ukraine-expects-first-tranche-of-macrofinancial-assistance-in-jan.html,2023-01-03 10:19:16.982513
"Biden, Japan's Kishida to meet at White House on Jan. 13",https://www.reuters.com/article/usa-japan-kishida/biden-japans-kishida-to-meet-at-white-house-on-jan-13-idUSKBN2TI0S1,2023-01-04 10:19:39.988716
Russian troops shell two communities in Dnipropetrovsk region,https://www.ukrinform.net/rubric-ato/3644911-russian-troops-shell-two-communities-in-dnipropetrovsk-region.html,2023-01-02 10:18:55.210039
Poland ready to accept for storage cultural valuables from Ukraine,https://www.ukrinform.net/rubric-society/3645252-poland-ready-to-accept-for-storage-cultural-valuables-from-ukraine.html,2023-01-02 22:19:06.467369
Government exploring opportunities for building decentralized power system in Ukraine,https://www.ukrinform.net/rubric-economy/3645972-government-exploring-opportunities-for-building-decentralized-power-system-in-ukraine.html,2023-01-03 22:19:26.356630
Invaders destroy the ice arena of eight-time Ukraine hockey champions Donbass HC,https://www.ukrinform.net/rubric-ato/3645542-invaders-destroy-the-ice-arena-of-eighttime-ukraine-hockey-champions-donbass-hc.html,2023-01-03 10:19:16.982231
NBU sells more than $1.1B on interbank foreign exchange market over past week ,https://www.ukrinform.net/rubric-economy/3645300-nbu-sells-more-than-11b-on-interbank-foreign-exchange-market-over-past-week.html,2023-01-02 22:19:06.467126
Ukraine plans to become associate member of OECD as early as 2023,https://www.ukrinform.net/rubric-economy/3645535-ukraine-plans-to-become-associate-member-of-oecd-as-early-as-2023.html,2023-01-03 10:19:16.982399
"Zelensky discusses peace formula with Trudeau, thanks Pelosi for supporting Ukraine",https://www.ukrinform.net/rubric-polytics/3646085-zelensky-discusses-peace-formula-with-trudeau-thanks-pelosi-for-supporting-ukraine.html,2023-01-04 10:19:37.691403
"Enemy fires 114 projectiles at Sumy region, landmark damaged",https://www.ukrinform.net/rubric-ato/3644951-enemy-fires-114-projectiles-at-sumy-region-landmark-damaged.html,2023-01-02 10:18:55.209016
"Kiev 'packed' with 3.6 mln people, including 300,000 refugees, says mayor",https://tass.com/world/1557723,2023-01-04 10:19:42.381140
"Ukraine forces hit two Russian control points, four clusters - General Staff",https://www.ukrinform.net/rubric-ato/3645985-ukraine-forces-hit-two-russian-control-points-four-clusters-general-staff.html,2023-01-03 22:19:26.356441
Russians hit Kherson region 73 times in past day. Two civilians killed,https://www.ukrinform.net/rubric-ato/3646226-russians-hit-kherson-region-73-times-in-past-day-two-civilians-killed.html,2023-01-04 10:19:37.690602
PM Shmyhal congratulates North Macedonia on start of OSCE chairmanship ,https://www.ukrinform.net/rubric-polytics/3645363-pm-shmyhal-congratulates-north-macedonia-on-start-of-osce-chairmanship.html,2023-01-02 22:19:06.466584
Media report explosions near Belbek airfield in Sevastopol,https://www.ukrinform.net/rubric-ato/3646231-media-report-explosions-near-belbek-airfield-in-sevastopol.html,2023-01-04 10:19:37.690541
Hundreds of US service members stationed in Ukraine — Lavrov,https://tass.com/politics/1557025,2023-01-04 10:19:42.381795
Defiant Ukrainians cheer New Year as drones blasted from skies,https://www.reuters.com/article/ukraine-crisis/defiant-ukrainians-cheer-new-year-as-drones-blasted-from-skies-idUSKBN2TG0IX,2023-01-02 22:19:09.822058
Russia uses Crimea to ‘integrate’ captured Ukrainian territories,https://www.ukrinform.net/rubric-ato/3645419-russia-uses-crimea-to-integrate-captured-ukrainian-territories.html,2023-01-03 10:19:16.983134
Ukraine to direct UAH17B confiscated from Russian banks to rebuild housing stock - Shmyhal,https://www.ukrinform.net/rubric-economy/3645974-ukraine-to-direct-uah17b-confiscated-from-russian-banks-to-rebuild-housing-stock-shmyhal.html,2023-01-03 22:19:26.356564
Fragments of Ukrainian missile fell 66 meters away from private home — BelTA,https://tass.com/world/1557449,2023-01-04 10:19:42.381347
"7 Anti-War Street Artists Still Working Inside Russia\t\t",https://www.themoscowtimes.com/2023/01/02/7-anti-war-street-artists-still-working-inside-russia-a79835,2023-01-03 10:19:24.066430
Another torture chamber discovered in Mykolaiv region,https://www.ukrinform.net/rubric-ato/3645793-another-torture-chamber-discovered-in-mykolaiv-region.html,2023-01-03 22:19:26.357446
"Pro-Kremlin Crowds in Russia Mourn Soldiers Killed in Ukraine Strike\t\t",https://www.themoscowtimes.com/2023/01/03/pro-kremlin-crowds-in-russia-mourn-soldiers-killed-in-ukraine-strike-a79867,2023-01-04 10:19:44.527618
We must increase price of new mobilization for terrorist state as much as possible - Zelensky,https://www.ukrinform.net/rubric-ato/3645474-we-must-increase-price-of-new-mobilization-for-terrorist-state-as-much-as-possible-zelensky.html,2023-01-03 10:19:16.982582
